# label<TAB>title<TAB>abstract  (1 = corrects another paper)
1	Corrigendum to "Transitive permutation groups with trivial four point stabilizers"	This article revisits earlier work by the last author together with Kay Magaard. We correct mistakes in results about the Sylow 2- and 3-structure of groups that act with fixity 3 and one result about possible components, we improve some results and we add details.
1	Corrigendum to "Nonsymplectic automorphisms of prime order on O'Grady's sixfolds"	In this short note we correct the lattice theoretic classification in [Rev. Mat. Iberoam. 38 (2022), no. 4, 1199--1218] of the first named author, including some missing cases and explaining how to recover them.
1	Corrigendum: order extreme points and solid convex hulls	We correct some errors found in [T. Oikhberg and M.A. Tursi, Order extreme points and solid convex hulls, in ``The Mathematical Legacy of Victor Lomonosov'' (ed. R. Aron et.al.), de Gryuter, 2020, 297--315.]
1	Corrigendum to "Isomorphism classes of Drinfeld modules over finite fields"	In this note we provide corrections to Theorem 5.4 of the paper ``Isomorphism classes of Drinfeld modules over finite fields'', arXiv:2209.15033. The main theorems of this paper, Theorem A and B in its introduction, are valid as stated; in the proof of Theorem B the argument needs to be modified by replacing the erroneous Theorem 5.4 by the theorem of this note.
1	Corrigendum and Addendum to "Fraïssé's Conjecture and big Ramsey degrees of structures admitting finite monomorphic decomposition''	In Section 6 of the paper ``Fraïssé's Conjecture and big Ramsey degrees of structures admitting finite monomorphic decomposition'', we applied the methods developed in earlier sections to show that a certain reduct of the generic permutation has finite big Ramsey degrees. Unfortunately, this reduct was incorrectly identified as the generic partial order. We are grateful to Jan Hubička for bringing this error to our attention. In this note we correct the statements that rely on this misidentifica
1	Corrigendum to "Ramification of multiple eigenvalues for the Dirichlet-Laplacian in perforated domains" published in Journal of Functional Analysis 283 (2022) 109718	We fix the proof of Theorem 1.17 in the quoted reference, which does not in general gives the correct coefficients in the asymptotic behavior of eigenvalues for the Dirichlet Laplacian when a small hole is removed from the domain.
1	On 4-dimensional convex projective domains invariant by a lattice of $\mathrm{SL}_2 (\mathbb{R})$	This paper is a sequel to the erratum by the authors to a paper by Crampon and Marquis (see arXiv:1202.5442). The main result of the Erratum was relating several notions of geometrical finiteness in round convex projective geometry and we prove here that our series of implications was sharp, by providing counterexamples to the implications that were not established. Our counterexamples are 4-dimensional convex domains $Ω$ acted on by $ρ(Γ)$ where $Γ$ is a lattice of $\mathrm{SL}_2 (\mathbb R)$ a
0	Edgeworth Expansions for Linear Rank Statistics -- Consolidated Version	An Edgeworth expansion of first order is established for general linear rank statistics under the null hypothesis with a remainder term that is usually of order $n^{-1}$. Furthermore, corresponding results for the second order are formulated, but not proved here. The proof for the first order is based on Stein's method and on an extension of the combinatorial method of Bolthausen. It is also shown that conditions of van Zwet imply up to a small factor our conditions for the validity of Edgeworth
0	Global Sensitivity Analysis: a novel generation of mighty estimators based on rank statistics	We propose a new statistical estimation framework for a large family of global sensitivity analysis indices. Our approach is based on rank statistics and uses an empirical correlation coefficient recently introduced by Chatterjee [9]. We show how to apply this approach to compute not only the Cram{é}r-von-Mises indices, which are directly related to Chatterjee's notion of correlation, but also first-order Sobol indices, general metric space indices and higher-order moment indices. We establish c
1	Conformal Geodesics Cannot Spiral -- Erratum	Wojciech Kamiński has provided a non real-analytic counterexample to our claim in [1] that conformal geodesics cannot spiral. This erratum illustrates how the proof of Lemma 4.6 [1] (on which our claim was based) fails.
